complete contents,count
Diazepam,46
Alprazolam,16
Clonazepam,10
Ethylbromazolam,8
Bromazolam,7
"Ethylbromazolam, Promethazine",5
Lorazepam,5
No Active Component,2
Chlorpheniramine,2
Clobromazolam,2
Meclonazepam,2
Clonazolam,1
Paracetamol with Etizolam,1
Lidocaine,1
"Caffeine, Paracetamol, Morphine, 6 Monoacetyl, Desalkylgidazepam with Noscapine, Heroin",1
Zopiclone,1
"Lorazepam, Paracetamol",1
Promethazine with Meclonazepam,1
Dihydrocodeine with Hydrocodone,1
Unable to Identify,1
"Caffeine, Ethylbromazolam",1
"Alprazolam, Tramadol",1
