complete contents,count
Diazepam,56
Alprazolam,22
Ethylbromazolam,13
"Ethylbromazolam, Promethazine",7
Clonazepam,6
Nitrazepam,4
Bromazolam,3
Lorazepam,2
Clonazolam,2
Paracetamol,2
Diazepam with Paracetamol,2
Zopiclone,1
Temazepam,1
Desalkylgidazepam,1
Caffeine with Clobromazolam,1
"Caffeine, Paracetamol with Ethylflualprazolam",1
"Ethylbromazolam, Bromazolam",1
"Ethylbromazolam, Paracetamol",1
Chlorpheniramine,1
Caffeine with Alprazolam,1
Diazepam with Caffeine,1
"Alprazolam, Diazepam",1
Caffeine with Ethylflualprazolam,1
Etizolam,1
"Diazepam, Paracetamol",1
