complete contents,count
Diazepam,94
Alprazolam,26
Clonazepam,19
Lorazepam,12
Ethylbromazolam,12
Tramadol,9
Medetomidine,8
Bromazolam,5
Chlorpheniramine,3
Temazepam,2
Nitrazepam,2
Paracetamol,2
No active compound identified,2
Dihydrocodeine,1
"Ketamine, MDMA with Cocaine",1
"Ethylbromazolam, Promethazine",1
Caffeine with Clobromazolam,1
"Cocaine with Promethazine, Ethylbromazolam",1
"Bromazolam, Caffeine",1
Clobromazolam with Rilmazafone,1
Tadalafil,1
Clonazolam,1
Zopiclone,1
Desalkylgidazepam,1
