complete contents,count
Ethylbromazolam,23
Bromazolam,12
"Ethylbromazolam, Promethazine",11
No Active Component,8
Clobromazolam,4
Zopiclone,3
Clonazolam,3
Tramadol,3
Paracetamol,3
Diazepam with Paracetamol,2
Promethazine with Ethylbromazolam,2
Meclonazepam,2
Chlorpheniramine,2
Diazepam,1
Methylclonazepam,1
Caffeine with Rilmazafone,1
Promethazine,1
"Chlorpheniramine, Tramadol with Diazepam, Paracetamol",1
Diazepam with Ethylbromazolam,1
"Caffeine, Clobromazolam",1
Phenacetin,1
Ethylflualprazolam,1
Zolpidem,1
Caffeine with Clobromazolam,1
"Caffeine, Paracetamol with Ethylflualprazolam",1
"Ethylbromazolam, Bromazolam",1
Venlafaxine,1
Etizolam,1
Caffeine with Alprazolam,1
Medetomidine,1
Diazepam with Caffeine,1
"Ethylbromazolam, Methamphetamine",1
Caffeine with Ethylflualprazolam,1
"Ethylbromazolam, Paracetamol",1
"Cocaine, Ethylbromazolam, Diazepam, Procaine with Nitrazepam",1
Desalkylgidazepam,1
"Bromazolam, Paracetamol",1
