complete contents,count
Pregabalin,19
Metonitazene,17
No Active Component,8
Diclofenac,7
Tramadol,6
Gabapentin,6
"N,N-dimethyletonitazene",6
Tapentadol with Carisoprodol,5
Isotonitazepyne,4
Tapentadol,4
Diazepam,3
N-desethyl Protonitazene,2
Isotonitazene,2
xylazine,2
Oxycodone,2
Lidocaine,2
2-methyl-4-(methylthio)-2-morpholinopropiophenone,2
AB-MDMSBA,2
Paracetamol,2
"Tramadol, Caffeine",1
"N-propionitrile chlorphine, Noscapine, Heroin, Paracetamol, Medetomidine, Caffeine with 6-MAM, 6-Acetylcodeine, Papaverine",1
N-desethylisotonitazene,1
Zopiclone,1
"Bromazolam, N-desethylprotonitazene",1
"Paracetamol, Tramadol, Nitrazepam, Tapentadol",1
"Heroin, Morphine, 6-Acetylcodeine, Noscapine with Papaverine, Caffeine",1
AB-MDMSBA with Metonitazene,1
Codeine with Hydrocodone,1
"Tapentadol, Diazepam",1
Medetomidine with AB-MDMSBA,1
Dihydrocodeine,1
Ibuprofen,1
Carisoprodol,1
Gabapentin with Paracetamol,1
Tramadol with Chlorpheniramine,1
Paracetamol with Codeine,1
"Heroin, Paracetamol, Caffeine, Noscapine with 6-Acetylcodeine, 6-MAM",1
Buprenorphine,1
Tapentadol with Paracetamol,1
"Promethazine, Oxycodone",1
"Codeine, Diphenhydramine",1
N-pyrrolidino protonitazene,1
Tramadol with Tapentadol,1
"Tapentadol with Paracetamol, Tramadol",1
"Isotonitazepyne, Tramadol",1
"Diclofenac, Paracetamol",1
Caffeine with Amphetamine,1
"Isotonitazepyne, Phenacetin",1
"Etizolam, Paracetamol",1
"Codeine, Chlorpheniramine",1
Aspirin,1
"Cocaine with Noscapine, Heroin, Paracetamol, Caffeine, 6-MAM",1
"Clonazolam, Flubromazolam, Flualprazolam",1
N-pyrrolidino isotonitazene,1
"Caffeine, Amphetamine",1
"2-methyl-4-(methylthio)-2-morpholinopropiophenone, Pregabalin",1
"Tramadol, Paracetamol",1
Paracetamol with Dihydrocodeine,1
