Compound,Count
Pregabalin,20
Metonitazene,18
Paracetamol,14
Tapentadol,14
Tramadol,13
Diclofenac,8
No Active Component,8
Gabapentin,7
Caffeine,7
"N,N-dimethyletonitazene",6
Carisoprodol,6
Isotonitazepyne,6
Noscapine,4
AB-MDMSBA,4
Codeine,4
Diazepam,4
Heroin,4
Oxycodone,3
6-Acetylcodeine,3
2-methyl-4-(methylthio)-2-morpholinopropiophenone,3
6-MAM,3
xylazine,2
Dihydrocodeine,2
Papaverine,2
Amphetamine,2
Chlorpheniramine,2
Lidocaine,2
Medetomidine,2
N-desethyl Protonitazene,2
Isotonitazene,2
N-propionitrile chlorphine,1
Buprenorphine,1
Ibuprofen,1
N-desethylisotonitazene,1
Promethazine,1
Flualprazolam,1
Aspirin,1
N-pyrrolidino isotonitazene,1
Hydrocodone,1
Diphenhydramine,1
Flubromazolam,1
N-desethylprotonitazene,1
Morphine,1
Phenacetin,1
Etizolam,1
Clonazolam,1
N-pyrrolidino protonitazene,1
Bromazolam,1
Zopiclone,1
Nitrazepam,1
Cocaine,1
