complete contents,count
Ethylbromazolam,309
Bromazolam,197
No Active Component Identified,50
"Paracetamol, Bromazolam",47
Tramadol,47
Etizolam,33
Clobromazolam,20
Clonazolam,20
Caffeine with Clobromazolam,13
Alprazolam,11
Paracetamol with Bromazolam,11
"Ethylbromazolam, Bromazolam",11
Clonazepam,11
Ethylbromazolam with Bromazolam,9
"Caffeine, Bromazolam",9
"Caffeine, Clobromazolam",8
"Caffeine, Ethylbromazolam",7
"Etizolam, Paracetamol",7
Paracetamol,7
Phenazepam,6
Clozapine,5
Diazepam,4
Caffeine with Bromazolam,3
Flualprazolam,3
"Bromazolam, Metonitazene",3
Nitrazepam,3
Zopiclone,3
Medetomidine,3
"Etizolam, Phenacetin",2
"Clobromazolam, Caffeine",2
"Tramadol, Tramadol",2
"Metonitazene, Bromazolam",2
Lorazepam,2
"Caffeine with Clobromazolam, Rilmazafone",2
Etizolam with Paracetamol,1
Paracetamol with Etizolam,1
Codeine,1
"Ketamine, Bromazolam",1
Desalkyligidazepam,1
"Cyproheptadine, Ketamine",1
"Bromazolam, Ethylbromazolam",1
"Cocaine, Caffeine with MDMA, Amphetamine",1
Lidocaine,1
Methylclonazepam,1
"Paracetamol, Bromazolam with Ketamine",1
"Bromazolam, Diazepam",1
MDMA with Lorazepam,1
Zolpidem,1
Tramadol with Paracetamol,1
"Caffeine, Clobromazolam, Rilmazafone",1
"Paracetamol, Bromazolam, Tramadol",1
Oxymetholone,1
Hydroxyzine,1
Tapentadol with Carisoprodol,1
"Caffeine with Bromazolam, Flubromazolam",1
Methandrostenolone,1
Rilmazafone,1
Bromazolam with Rilmazafone,1
"MDMA, Ethylbromazolam",1
xylazine,1
Diazepam with Caffeine,1
Pyrazolam,1
Tadalafil,1
Desalkylgidazepam,1
"Cocaine, Phenacetin with N-desethylisotonitazene, Ketamine",1
"Paracetamol, Ethylbromazolam",1
desalkylflurazepam,1
"Caffeine, Rilmazafone",1
"Bromazolam, Metonitazene, Pregabalin with N-desethyl metonitazene",1
Propanolol,1
"Lorazepam, Propanolol, Citalopram, Metoprolol",1
Caffeine with Amphetamine,1
Caffeine with Ethylbromazolam,1
Etizolam with Quetiapine,1
"Bromazolam, Flubromazolam",1
Melatonin,1
Chlorpheniramine with Clozapine,1
Trazodone,1
"Flubromazolam, Deschloroetizolam",1
Oxycodone,1
Lorazepam with Paracetamol,1
Sertraline,1
