,date_received,postcode,intent,label,colour,form,consumption_method,effects,major,minor,latitude,longitude,Postcode prefix
W074435,27 Feb 2026,BS5,Valium/ diazepam, diazepam/ watson lab,White,Tablet,Oral,"Relaxed, Insomnia",Bromazolam,,51.462,-2.5519,BS
000239553,27 Feb 2026,NP22,Xanax,Not Stated,White,Tablet,Oral,Not Stated,Methylclonazepam,,51.7725,-3.2468,NP
W074448,27 Feb 2026,B807,Clonazepam,Clonzepam/ martin dow rivotril,White,Tablet,Not Stated,Not Stated,Clonazepam,,52.27168,-1.88216,B
W073798,17 Feb 2026,EH7,Diazepam,Diazepam,Yellow,Tablet,Oral,No Effect,Diazepam,,55.9521,-3.1965,EH
000236813,27 Feb 2026,CF64,Diazepam,Diazepam,White,Tablet,Oral,Relaxed,Diazepam,,51.42878,-3.21045,CF
000236811,27 Feb 2026,CF64,Diazepam,Diazepam,White,Tablet,Not Stated,Not Stated,No Active Component Identified,,51.42878,-3.21045,CF
W074451,27 Feb 2026,AB42,Diazepam,Diazepam,White,Tablet,Oral,"Loss of consciousness, Overdose",Bromazolam,,57.48231142857143,-1.924825714285714,AB
000236812,27 Feb 2026,CF64,Diazepam,Diazepam,Yellow,Tablet,Not Stated,Not Stated,Oxandrolone,,51.42878,-3.21045,CF
W074467,27 Feb 2026,KT7,10mg Diazepam,martin dow,Blue,Tablet,Not Stated,Not Stated,Diazepam,,51.3896,-0.3393,KT
000043985,27 Feb 2026,CF64,Diazepam,Diazepam,Blue,Tablet,Not Stated,Not Stated,Diazepam,,51.42878,-3.21045,CF
000236814,26 Feb 2026,CF64,Diazepam,Diazepam,White,Tablet,Not Stated,Not Stated,No Active Component Identified,,51.42878,-3.21045,CF
W074175,27 Feb 2026,ML75,Valium,Not Stated,Blue,Tablet,Oral,"Memory Loss, Confusion, Agitation, Loss of consciousness",Bromazolam,,55.8296,-3.7961818181818185,ML
W074444,27 Feb 2026,WV10,Diazepam,Diazepam Martin dow 10mg,Blue,Tablet,Not Stated,Not Stated,Diazepam,,52.651114285714286,-2.101428571428571,WV
W074355,27 Feb 2026,BD14,Diazepam,Diazepam (gelanika),White,Tablet,Not Stated,Not Stated,Ethylbromazolam,,53.7667,-1.8167,BD
000232758,27 Feb 2026,CF83,"Morpine, lorazepam, zopiclone",Not Stated,Blue,Tablet,Oral,"Memory Loss, Confusion, Loss of consciousness",Lorazepam,,51.59288333333333,-3.2333833333333337,CF
000232757,27 Feb 2026,CF83,"Morphine, lorazepam, zopiclone",Not Stated,White,Tablet,Oral,"Memory Loss, Confusion, Loss of consciousness",Zopiclone,,51.59288333333333,-3.2333833333333337,CF
W074438,27 Feb 2026,TS5,Diazepam,Diazepam (accord),Blue,Tablet,Not Stated,Not Stated,Ethylbromazolam,,54.5507,-1.2521,TS
