sample_id,date_received,postcode,intent,label,colour,form,consumption_method,effects,major,minor,latitude,longitude,year_month,is_mixture
W073828,2026-03-10,EH52,DIAZEPAM (10MG),STRIP OF 10 WITH VALIUM 10MG WRITTEN ON THE STRIP,Blue,Tablet,Oral,"Increased Energy, Increased Confidence, Relaxed, Memory Loss",Diazepam,,55.9358,-3.4882625,2026-03,True
W074683,2026-03-10,NE31,DIAZEPAM,DIAZEPAM,Blue,Tablet,Oral,Relaxed,Diazepam,,54.973,-1.5155,2026-03,True
W074693,2026-03-10,FK2,DIAZEPAM,DIAZEPAM,White,Tablet,Oral,Relaxed,Ethylbromazolam,,56.01717272727273,-3.755472727272727,2026-03,True
W074677,2026-03-10,KY12,NITRAZEPAM,NITRAZEPAM,White,Tablet,Oral,Relaxed,Nitrazepam,,56.087095,-3.539235,2026-03,True
W074701,2026-03-10,AL71,VALIUM,ZEPAM 10MG,Blue,Tablet,Oral,"Euphoria, Increased Confidence, Relaxed",Diazepam,,51.7969,-0.1871,2026-03,True
W074713,2026-03-10,N1,XANAX,KSALOL 7MG,White,Tablet,Oral,Relaxed,Bromazolam,,51.53669,-0.0944,2026-03,True
W074668,2026-03-10,CW9,DIAZEPAM,BENSEDIN,White,Tablet,Not Stated,Not Stated,Diazepam,,53.264406666666666,-2.5003200000000003,2026-03,True
W074684,2026-03-10,B240,CLONAZEPAM ENURAXPHARM 2MG,CLONAZEPAM NEURAXPHARM 2MG,White,Tablet,Oral,"Relaxed, Nausea, Memory Loss, Suicidal Ideation",Clonazepam,,52.52635,-1.809,2026-03,True
000234140,2026-03-10,NP23,DIAZEPAM,Not Stated,Blue,Tablet,Not Stated,Not Stated,Diazepam,,51.7771,-3.2079,2026-03,True
000234149,2026-03-10,NP20,Not Stated,DIAZEPAM (M.D.),,,Not Stated,Not Stated,Diazepam,,51.5877,-2.9984,2026-03,True
W074662,2026-03-10,HP13,DIAZEPAM,DIAZEPAM,White,Tablet,Not Stated,Not Stated,Diazepam,,51.6374,-0.7626,2026-03,True
W074651,2026-03-10,SA16DR,DIAZEPAM,YES,Blue,Tablet,Oral,"Relaxed, Irregular Heartbeat, Panic Attack",Ethylbromazolam,,51.63398,-3.94848,2026-03,True
W074678,2026-03-10,NG10,XANAX,XANAX,White,Tablet,Not Stated,Not Stated,Ethylbromazolam,,52.901475,-1.287175,2026-03,True
000235587,2026-03-10,NP12,DIAZEPAM,DIAZEPAM,Yellow,Tablet,Oral,Not Stated,Diazepam,,51.6678,-3.2075,2026-03,True
W074661,2026-03-10,HP13,DIAZEPAM,DIAZEPAM,Blue,Tablet,Not Stated,Not Stated,Diazepam,,51.6374,-0.7626,2026-03,True
W074658,2026-03-10,L8,DIAZEPAM,ACCORD DIAZEPAM 5MG,Yellow,Tablet,Not Stated,Not Stated,Diazepam,,53.4106,-2.9779,2026-03,True
W074567,2026-03-10,CF14,ksaloalprazolam 1mg,galenika ksalon 1mg,Blue,Tablet,Oral,"Increased Confidence, Empathy, Relaxed, Memory Loss, Confusion",Alprazolam,,51.5199,-3.204,2026-03,True
W074628,2026-03-09,BS05,Diazepam,Diazepam,White,Tablet,Not Stated,Not Stated,Diazepam,,51.4646,-2.5636,2026-03,True
W074633,2026-03-09,BH8,Alprazolam RLAM 1mg,Alprazolam Rlam 1mg,White,Tablet,Not Stated,Not Stated,Tramadol,,50.7568,-1.8194,2026-03,True
W074617,2026-03-09,GL51,Diazepam,Digital vision dizpam-10 (diazepam),White,Tablet,Oral,Relaxed,Diazepam,,51.90277692307692,-2.1239538461538463,2026-03,True
W074622,2026-03-09,CV6,Diazepam,Not Stated,White,Tablet,Oral,Not Stated,Diazepam,,52.4414,-1.4998714285714283,2026-03,True
W074632,2026-03-09,SW1,Diazepam,Martin dow valium,Purple,Tablet,Not Stated,Not Stated,Diazepam,,51.495583333333336,-0.1417916666666666,2026-03,True
W074594,2026-03-09,CA1,diazepam,Not Stated,White,Tablet,Not Stated,Not Stated,Medetomidine,,54.89065,-2.92565,2026-03,True
W074551,2026-03-09,OX1,Diazepam,Bensedin diazepam 10mg,White,Tablet,Oral,Relaxed,Ethylbromazolam,,51.72478,-1.275,2026-03,True
W074593,2026-03-09,LS16,Diazepam,Diazepam,White,Tablet,Oral,Not Stated,Diazepam,,53.868475,-1.5981,2026-03,True
W074615,2026-03-09,G7,alprazolam,Ksalol,Blue,Tablet,Not Stated,Not Stated,Alprazolam,,,,2026-03,True
W074572,2026-03-09,BN6,Xanax,Kaslol 1mg alprazolam,Blue,Tablet,Not Stated,Not Stated,Alprazolam,,50.92262,-0.14494,2026-03,True
W074624,2026-03-09,BT67,Diazepam 10mg,Diazepam 10,Blue,Tablet,Not Stated,Not Stated,Diazepam,,54.48503333333334,-6.287166666666667,2026-03,True
W074589,2026-03-09,YO8,Diazepam,Diazepam,White,Tablet,Not Stated,Not Stated,Diazepam,,53.77469393939394,-1.0269030303030302,2026-03,True
000235586,2026-03-09,NP12,Xanax,Xanax,Blue,Tablet,Oral,"Relaxed, Memory Loss, Confusion",Bromazolam,,51.6678,-3.2075,2026-03,True
W074598,2026-03-09,G403,Xanax,Alprazolam 1mg,Orange,Tablet,Not Stated,Not Stated,Alprazolam,,55.8485,-4.2235,2026-03,True
W074623,2026-03-09,L19,Not Stated,Diazepam,Blue,Tablet,Oral,No Effect,Bromazolam,,53.3333,-2.9,2026-03,True
000239690,2026-03-09,CF10,Unknown,Not Stated,White,Tablet,Not Stated,Not Stated,Diazepam,,51.48,-3.18,2026-03,True
W074414,2026-03-09,SG7,Diazepam 5mg,Accord 5mg diazepam,Yellow,Tablet,Not Stated,Not Stated,Diazepam,,52.01185555555555,-0.1739111111111111,2026-03,True
W074413,2026-03-09,SG7,Xanax 0.5mg,Viatris Xanax 500 microgram,Pink,Tablet,Not Stated,Not Stated,Alprazolam,,52.01185555555555,-0.1739111111111111,2026-03,True
000239671,2026-03-09,NP4,Diazepam,Diazepam,White,Tablet,Not Stated,Not Stated,Diazepam,,51.718515789473685,-3.030521052631579,2026-03,True
000239672,2026-03-09,NP4,Diazepam/Valium,diazepam,White,Tablet,Not Stated,Not Stated,Diazepam,,51.718515789473685,-3.030521052631579,2026-03,True
000238661,2026-03-09,NP22,Diazepam,Diazepam,Pink,Tablet,Oral,"Increased Confidence, Relaxed, Chest Pains, Memory Loss",Diazepam,,51.7725,-3.2468,2026-03,True
W074495,2026-03-09,KT24,Galenika ksalol 1mg alprazolam,Not Stated,"White, Blue",Tablet,Not Stated,Not Stated,Alprazolam,,51.26846666666667,-0.4284666666666667,2026-03,True
W074492,2026-03-09,KT2,5MG TEVA DIAZEPAM,Not Stated,Yellow,Tablet,Not Stated,Not Stated,Diazepam,,51.4186,-0.2904,2026-03,True
W074409,2026-03-09,TS01,Alprazolam,Alpzar 1,White,Tablet,Not Stated,Not Stated,"Chlorpheniramine, Paracetamol",,,,2026-03,True
W074530,2026-03-09,PA26,diazepam,valium (diazepam),Blue,Tablet,Not Stated,Not Stated,Diazepam,,56.25834285714286,-4.9370714285714286,2026-03,True
